"","subjectID","StartDate","LocationLatitude","LocationLongitude","gender","age","education","ethnicity","father_education","mother_education","marital_status","employment_status","children_1","income","parents_income","net_worth","parents_net_worth","housing_status","macarthur_sss","macarthur_sss_parent","job","accomplishments","weight","height","bmi","sat_score","gre_score_verbal","gre_score_quant","gpa_highschool","gpa_undergrad"
"83",83,"2021-10-28 15:48:51","43.665496826171875","-79.42040252685546875","Female","18","High school degree or equivalent (e.g. GED)","White","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","$150,000 to $249,999","$150,000 to $249,999","$30,000 to $39,999","$60,000 to $69,999","Live with family","5","5","full-time student","Getting into university","190",160.02,33.7273630867837,NA,NA,NA,"13",NA
"84",84,"2021-10-28 16:01:15","43.88409423828125","-79.060699462890625","Female","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Some college, no degree","Single (never married)","Student","0","$10,000 to $19,999","$30,000 to $39,999","Less than $10,000","$50,000 to $59,999","Live with family","5","6","student","getting accepted into the university I wanted","100",160.02,17.7512437298862,NA,NA,NA,"9",NA
"85",85,"2021-10-28 16:05:34","43.7274017333984375","-79.26039886474609375","Female","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","Less than $10,000","$70,000 to $79,999","Less than $10,000","$100,000 to $149,999","Live with family","6","3","student","I've participated in two 5k runs, I finished highschool with honours and an IB diploma","123",157.48,22.5440333578614,NA,NA,NA,"11",NA
"86",86,"2021-10-28 15:47:35","43.712493896484375","-79.48549652099609375","Female","47","Some college, no degree","Other","Master's degree (e.g. MA, MS, MEd)","Doctorate or professional degree (e.g. MD, DDS, PhD)","Single (never married)","Employed part time (up to 39 hours per week)","0","$50,000 to $59,999","$100,000 to $149,999","$50,000 to $59,999",NA,"Rent","4","8","student; project coordinator","valedictorian, developed and implemented province wide data collection tool and program, recruitment of physicians to province; taking care of my mom","180",157.48,32.9912683285777,NA,NA,NA,"12",NA
"87",87,"2021-10-28 15:08:41","43.791595458984375","-79.416900634765625","Female","18","High school degree or equivalent (e.g. GED)","Asian","Bachelor's degree (e.g. BA, BS)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$100,000 to $149,999","Less than $10,000","$1 million to $2 million","Live with family","2","7","Student","Valedictorian of Chinese School, Highest academic standing Human Development, perfect score for grade 12 U-level English, front-row dancer in ballet recitals.","100",NA,NA,NA,NA,NA,"13",NA
"88",88,"2021-10-28 16:38:24","43.6027984619140625","-79.6529998779296875","Female","18","High school degree or equivalent (e.g. GED)","White","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$150,000 to $249,999","$30,000 to $39,999","$2 million to $5 million","Rent","7","8","student","finishing high school","170",175.26,25.1571028814663,NA,NA,NA,"12",NA
"89",89,"2021-10-28 16:36:37","43.6638031005859375","-79.39990234375","Female","18","High school degree or equivalent (e.g. GED)","Asian","Associate degree (e.g. AA, AS)","Doctorate or professional degree (e.g. MD, DDS, PhD)","Single (never married)","Employed part time (up to 39 hours per week)","0","$10,000 to $19,999","$150,000 to $249,999","Less than $10,000","$500,000 to $1 million","Live with family","7","6","Karate instructor","Getting my third degree black belt, receiving the niesei veterans award, Duke of edinburgh award","110",162.56,18.9209362793726,NA,NA,NA,"13",NA
"90",90,"2021-10-28 17:23:23","49.2700042724609375","-122.779296875","Female","18","High school degree or equivalent (e.g. GED)","Asian","Some college, no degree","High school degree or equivalent (e.g. GED)","Single (never married)","Student","0","Less than $10,000","$30,000 to $39,999","Less than $10,000","$50,000 to $59,999","Live with family","5","2","Student and Part time worker","Acceptance of University, able to pay some of my own tuition","93",NA,NA,NA,NA,NA,"12",NA
"91",91,"2021-10-28 16:41:59","43.5751953125","-79.62960052490234375","Male","18","High school degree or equivalent (e.g. GED)","Black or African American","Master's degree (e.g. MA, MS, MEd)","Master's degree (e.g. MA, MS, MEd)","Single (never married)","Student","0","$10,000 to $19,999",NA,"Less than $10,000",NA,"Live with family","3","9","Student","Being named High School MVP in the 10th grade for basketball","161",162.56,27.6933703725362,NA,NA,NA,"10",NA
"92",92,"2021-10-28 17:15:33","43.669403076171875","-79.40180206298828125","Female","18","High school degree or equivalent (e.g. GED)","Asian","Master's degree (e.g. MA, MS, MEd)","Bachelor's degree (e.g. BA, BS)","Single (never married)","Student","0","Less than $10,000","$60,000 to $69,999","$10,000 to $19,999","$100,000 to $149,999","Rent","4","4","student","valedictorian, receiving highest average awards for most high school classes, cycled across town, having a collection of poetry/short stories","104",160.02,18.4612934790816,NA,NA,NA,"13",NA
